screen_name,url,verified,location,description,followers_count,friends_count,created_at,favourites_count,statuses_count
denise8934,https://t.co/waIHozhZAV,False,"Coral Springs, FL",Meep? jus ask me anything..,57,119,2009-03-26 21:25:27,54,236
carter6007tm,,False,,,0,78,2018-03-22 17:16:22,0,0
Tynoe585,https://t.co/nAUDTADQJ6,False,"Midlands, Zimbabwe",S.A.V.A.G.E,51,118,2016-04-30 11:23:24,45,15
zachrabbit16,,False,,I love my Jens,183,165,2013-03-22 00:39:58,725,592
FargloO,,False,,,0,71,2018-03-22 17:15:47,0,0
RobertAgbahia1,,False,,,0,37,2018-03-22 17:11:52,0,0
ChristakisLoiz1,,False,,,0,3,2018-03-22 16:49:51,0,0
petergeorgy1986,,False,,,0,63,2018-03-22 17:13:12,0,0
AmeyaKu24002634,,False,,,0,79,2018-03-22 17:15:05,0,0
Viral_Parekh09,,False,"Mumbai, India",Exploring,10,106,2017-09-07 16:15:18,44,10
coolj2604,,False,,,0,123,2018-03-22 17:13:11,0,0
Slippy1998,,False,,,25,245,2018-03-17 08:07:19,6,0
Wendy_AAV,,False,,Ingeniero,11,45,2013-01-17 17:20:23,7,14
BaliramTambile,,False,,,0,129,2018-03-22 17:13:55,0,0
Tim15201521,,False,,,0,22,2017-05-14 14:32:48,5,1
heather61071549,,False,,,0,1,2018-03-22 17:15:41,0,0
Domingo36708714,,False,,,0,39,2018-03-22 17:14:44,0,0
qdfceqpjjty,,False,,,0,69,2018-03-22 17:15:07,0,0
ashley84697275,,False,,,1,26,2018-01-07 21:33:59,0,0
J1lasT5MvL4hcgw,,False,,,0,41,2018-03-22 17:15:53,0,0
KurguzovaA,,False,,Ukraine/ UK,151,315,2012-07-25 15:29:02,9809,8694
tbo1lNbZDZaftTr,,False,,,0,50,2018-03-22 17:16:16,0,0
selenavillas,,False,,sc|| villa_selena ||,69,108,2017-03-29 03:03:16,253,111
Andrulox,,False,,,9,14,2015-03-05 05:41:33,0,1
lawrenced378,,False,New Westminster ,,25,52,2014-08-12 04:13:40,1,0
FacundoIrigoy,,False,,,0,99,2018-03-22 17:15:21,0,0
bird36712995,,False,,,0,15,2018-03-22 17:15:06,0,0
lapaglia8465nz,,False,,,0,35,2018-03-22 17:15:55,0,0
AustinSartorius,,False,,,433,399,2011-08-02 03:47:43,1704,7293
sandeep_s_007,,False,"Ghaziabad, India",,0,22,2010-11-16 11:17:06,0,0
CheickO38227375,,False,,,0,106,2018-03-22 17:11:10,0,0
WalleniusTom,,False,,,0,4,2014-08-13 01:58:26,0,1
xiX6nH4ejggjGIo,,False,,,0,122,2018-03-22 17:08:06,0,0
Victori95771076,,False,,,0,29,2018-03-22 17:16:49,0,0
yenish666,,False,,,2,40,2018-03-22 08:17:38,0,0
Giedriu66006679,,False,,,0,23,2018-03-22 17:10:57,0,0
vishwatrivedi02,,False,,Best friends,0,17,2016-10-19 20:57:35,0,1
John7952,,False,Addis Ababa,,33,154,2011-12-17 11:00:45,26,29
AngelaWashell,,False,,,1,10,2012-09-09 04:33:12,0,0
copiapina2027,,False,,,7,124,2017-11-26 11:55:35,2,3
KDotmulla,,False,,,0,113,2018-03-22 17:14:18,0,0
Jaafar109,,False,,,0,66,2018-03-15 14:43:22,0,0
Schwabbelsabber,,False,,,3,41,2013-12-16 19:31:41,6,2
jaunitaclasen11,,False,,,0,72,2018-03-22 17:14:24,0,0
Lucazcdn,,False,brasil,,97,229,2011-03-10 23:18:02,4495,232
jabessa_jirata,,False,,,0,7,2018-03-06 16:56:48,0,0
AhmedKaeid,,False,,,0,60,2018-03-22 17:14:17,0,0
Deepak_Guntuku,,False,"Jodhpur, India",IIT Jodhpur,5,12,2015-07-30 09:41:41,0,0
Skurpe,,False,Sweden,,22,88,2011-04-05 16:05:43,23,0
